stage,channel,user_count,revenue
view,organic,12000,0
view,paid,8500,0
view,social,7200,0
view,ref,5000,0
view,direct,6500,0
trial,organic,4800,0
trial,paid,3400,0
trial,social,2160,0
trial,ref,2500,0
trial,direct,2860,0
add_cart,organic,1920,0
add_cart,paid,1360,0
add_cart,social,648,0
add_cart,ref,1250,0
add_cart,direct,1144,0
purchase,organic,960,48000
purchase,paid,680,34000
purchase,social,259,12950
purchase,ref,750,37500
purchase,direct,572,28600
complete,organic,672,0
complete,paid,476,0
complete,social,181,0
complete,ref,600,0
complete,direct,457,0
