user_id,course_id
1,A
1,B
1,C
2,B
2,D
3,A
3,B
3,C
3,D
4,A
4,B
4,E
5,B
5,C
5,F
6,A
6,B
6,C
6,D
6,E
7,A
7,F
8,B
8,C
8,D
9,A
9,B
9,C
9,E
10,C
10,D
10,E
10,F
11,A
11,B
12,A
12,B
12,C
12,D
12,E
12,F
13,B
13,D
13,E
14,A
14,B
14,D
15,C
15,D
15,F
16,A
16,B
16,C
16,E
17,B
17,C
17,D
17,E
18,A
18,F
19,B
19,C
19,D
20,A
20,B
20,C
20,D
21,A
21,D
21,E
22,B
22,C
22,D
22,F
23,A
23,B
23,C
23,D
23,E
23,F
24,A
24,B
24,C
25,D
25,E
25,F
26,A
26,B
26,C
26,D
26,E
27,B
27,D
27,F
28,A
28,C
28,E
29,B
29,C
29,D
30,A
30,B
30,D
30,E
31,A
31,B
31,C
31,F
32,B
32,C
32,E
33,A
33,B
33,D
33,E
34,C
34,D
34,E
34,F
35,A
35,B
35,C
35,D
35,E
35,F
36,A
36,B
36,C
37,A
37,D
37,E
38,B
38,C
38,D
38,E
39,A
39,B
39,F
40,A
40,B
40,C
40,D
40,E
41,A
41,C
41,D
42,B
42,C
42,E
42,F
43,A
43,B
43,C
43,D
43,E
44,A
44,B
44,D
44,F
45,B
45,C
45,D
45,E
45,F
46,A
46,B
46,C
46,D
46,E
46,F
47,A
47,C
47,E
48,B
48,D
48,F
49,A
49,B
49,C
49,D
49,E
49,F
50,A
50,B
50,C
50,D
51,A
51,B
51,D
51,E
52,B
52,C
52,E
53,A
53,C
53,D
53,F
54,B
54,D
54,E
54,F
55,A
55,B
55,C
55,D
55,E
55,F
56,A
56,B
56,C
56,D
57,A
57,B
57,E
57,F
58,B
58,C
58,D
59,A
59,C
59,E
59,F
60,A
60,B
60,C
60,D
60,E
60,F
61,A
61,B
61,C
61,D
62,B
62,C
62,D
62,E
63,A
63,B
63,D
63,F
64,A
64,C
64,E
65,B
65,C
65,D
65,E
65,F
66,A
66,B
66,C
66,D
66,E
66,F
67,A
67,B
67,D
67,E
68,B
68,C
68,F
69,A
69,C
69,D
69,E
70,B
70,D
70,E
70,F
71,A
71,B
71,C
71,D
71,E
72,A
72,B
72,C
72,E
73,B
73,D
73,F
74,A
74,B
74,C
74,D
74,F
75,C
75,D
75,E
76,A
76,B
76,C
76,E
76,F
77,B
77,C
77,D
77,E
78,A
78,B
78,D
78,E
78,F
79,A
79,B
79,C
79,D
79,E
79,F
80,A
80,B
80,C
80,E
81,B
81,C
81,D
81,F
82,A
82,C
82,D
82,E
83,B
83,D
83,E
83,F
84,A
84,B
84,C
84,D
84,E
84,F
85,A
85,B
85,C
85,D
86,A
86,B
86,E
87,B
87,C
87,D
87,E
87,F
88,A
88,C
88,D
88,F
89,A
89,B
89,C
89,E
89,F
90,B
90,C
90,D
90,E
91,A
91,B
91,D
91,E
91,F
92,A
92,B
92,C
92,D
92,E
92,F
93,A
93,B
93,C
93,E
94,B
94,D
94,F
95,A
95,C
95,E
96,B
96,C
96,D
96,E
96,F
97,A
97,B
97,D
97,F
98,A
98,B
98,C
98,D
98,E
98,F
99,B
99,C
99,E
99,F
100,A
100,B
100,C
100,D
100,E
100,F
