age,gender,income,city,purchase
28,M,45000,Beijing,1
35,F,58000,Shanghai,1
22,M,32000,Beijing,0
45,F,72000,Guangzhou,1
30,M,50000,Shanghai,0
27,F,48000,Beijing,1
38,M,65000,Shenzhen,1
25,F,38000,Beijing,0
50,M,80000,Shanghai,1
32,F,55000,Guangzhou,0
29,M,47000,Shenzhen,1
41,F,68000,Beijing,1
23,M,35000,Shanghai,0
37,F,60000,Guangzhou,1
48,M,75000,Shenzhen,0
26,F,42000,Beijing,1
33,M,52000,Shanghai,1
44,F,70000,Guangzhou,0
31,M,49000,Beijing,1
39,F,66000,Shenzhen,1
24,M,36000,Shanghai,0
42,F,72000,Guangzhou,0
28,M,46000,Beijing,1
36,F,58000,Shenzhen,1
47,M,78000,Shanghai,0
30,F,51000,Beijing,1
25,M,39000,Guangzhou,0
34,F,56000,Shenzhen,1
43,M,70000,Beijing,0
29,F,48000,Shanghai,1
38,M,64000,Guangzhou,1
22,F,34000,Beijing,0
46,M,74000,Shenzhen,1
31,F,53000,Shanghai,1
37,M,62000,Beijing,0
27,F,43000,Guangzhou,1
40,M,68000,Shenzhen,0
23,F,37000,Beijing,1
35,M,57000,Shanghai,1
49,F,82000,Guangzhou,0
28,M,44000,Shenzhen,1
42,F,71000,Beijing,0
32,M,54000,Shanghai,1
39,F,65000,Guangzhou,1
26,M,41000,Beijing,0
45,F,73000,Shenzhen,1
30,M,49500,Shanghai,0
34,F,56500,Beijing,1
41,M,69000,Guangzhou,1
24,F,35000,Shenzhen,0
33,M,52500,Beijing,1
47,F,77000,Shanghai,0
29,M,46500,Guangzhou,1
38,F,63000,Shenzhen,1
25,M,38000,Beijing,0
44,F,70500,Shanghai,1
31,M,51000,Guangzhou,0
36,F,59000,Beijing,1
43,M,71500,Shenzhen,0
27,F,43500,Shanghai,1
32,M,53500,Beijing,1
40,F,67000,Guangzhou,0
23,M,36500,Shenzhen,1
45,F,73500,Beijing,1
28,M,44500,Shanghai,0
37,F,61500,Guangzhou,1
42,M,70000,Beijing,0
26,F,42000,Shenzhen,1
39,M,66500,Shanghai,0
30,F,50000,Guangzhou,1
48,M,79000,Beijing,1
24,F,36000,Shenzhen,0
35,M,57500,Shanghai,1
41,F,68500,Guangzhou,0
29,M,47500,Beijing,1
38,F,64000,Shenzhen,1
25,M,38500,Shanghai,0
46,F,75000,Guangzhou,1
31,M,50500,Beijing,0
34,F,55500,Shenzhen,1
43,M,72000,Shanghai,1
27,F,44000,Beijing,0
32,M,53000,Guangzhou,1
44,F,71000,Shenzhen,0
28,M,45500,Beijing,1
39,F,65500,Shanghai,0
24,F,35500,Guangzhou,1
36,M,58500,Shenzhen,1
47,F,78000,Beijing,0
30,M,49000,Shanghai,1
33,F,54000,Guangzhou,1
40,M,67500,Shenzhen,0
26,F,41500,Beijing,1
38,M,63500,Shanghai,0
29,F,46000,Guangzhou,1
45,M,74000,Shenzhen,1
31,F,52000,Beijing,0
37,M,61000,Shanghai,1
