user_id,course_id,chapter_id,progress,is_dropout,timestamp
20001,A,ch3,0.18,1,2024-01-01 00:00:00
20002,A,ch1,0.44,0,2024-01-02 01:01:00
20003,B,ch1,0.24,1,2024-01-03 02:02:00
20004,B,ch2,0.25,0,2024-01-04 03:03:00
20005,A,ch5,0.44,1,2024-01-05 04:04:00
20006,C,ch4,0.19,1,2024-01-06 05:05:00
20007,C,ch2,0.21,0,2024-01-07 06:06:00
20008,B,ch4,0.62,1,2024-01-08 07:07:00
20009,A,ch3,0.41,0,2024-01-09 08:08:00
20010,A,ch5,0.67,1,2024-01-10 09:09:00
20011,B,ch1,0.46,0,2024-01-11 10:10:00
20012,C,ch4,0.72,0,2024-01-12 11:11:00
20013,C,ch5,0.9,1,2024-01-13 12:12:00
20014,C,ch4,0.44,1,2024-01-14 13:13:00
20015,C,ch2,0.75,1,2024-01-15 14:14:00
20016,B,ch3,0.25,1,2024-01-16 15:15:00
20017,B,ch1,0.75,0,2024-01-17 16:16:00
20018,B,ch1,0.27,1,2024-01-18 17:17:00
20019,C,ch3,0.11,1,2024-01-19 18:18:00
20020,A,ch4,0.58,0,2024-01-20 19:19:00
20021,A,ch3,0.99,0,2024-01-21 20:20:00
20022,C,ch2,0.59,0,2024-01-22 21:21:00
20023,A,ch5,0.5,0,2024-01-23 22:22:00
20024,A,ch1,0.22,1,2024-01-24 23:23:00
20025,B,ch3,0.72,0,2024-01-25 00:24:00
20026,C,ch4,0.1,1,2024-01-26 01:25:00
20027,C,ch3,0.74,1,2024-01-27 02:26:00
20028,A,ch5,0.44,1,2024-01-28 03:27:00
20029,C,ch4,0.13,1,2024-01-01 04:28:00
20030,B,ch1,0.78,0,2024-01-02 05:29:00
20031,B,ch1,0.68,0,2024-01-03 06:30:00
20032,B,ch1,0.75,0,2024-01-04 07:31:00
20033,B,ch2,0.77,0,2024-01-05 08:32:00
20034,C,ch1,0.78,0,2024-01-06 09:33:00
20035,B,ch2,0.92,0,2024-01-07 10:34:00
20036,B,ch4,0.43,1,2024-01-08 11:35:00
20037,B,ch5,0.21,1,2024-01-09 12:36:00
20038,C,ch4,0.49,0,2024-01-10 13:37:00
20039,B,ch1,0.41,0,2024-01-11 14:38:00
20040,C,ch4,0.37,0,2024-01-12 15:39:00
20041,A,ch2,0.57,0,2024-01-13 16:40:00
20042,C,ch5,0.22,1,2024-01-14 17:41:00
20043,C,ch3,0.3,0,2024-01-15 18:42:00
20044,A,ch3,0.94,1,2024-01-16 19:43:00
20045,B,ch3,0.46,0,2024-01-17 20:44:00
