region,product,qty,amount,date
华北,产品A,120,36000,2024-01-05
华北,产品B,80,28000,2024-01-06
华东,产品A,150,45000,2024-01-07
华东,产品C,95,33250,2024-01-08
华东,产品B,110,38500,2024-01-09
华南,产品A,130,39000,2024-01-10
华南,产品B,75,26250,2024-01-11
华南,产品C,100,35000,2024-01-12
华北,产品C,85,29750,2024-01-13
华东,产品A,160,48000,2024-01-14
华南,产品B,90,31500,2024-01-15
华北,产品A,115,34500,2024-01-16
华东,产品C,105,36750,2024-01-17
华南,产品A,140,42000,2024-01-18
华北,产品B,70,24500,2024-01-19
华东,产品B,125,43750,2024-01-20
华南,产品C,110,38500,2024-01-21
华北,产品A,130,39000,2024-01-22
华东,产品A,170,51000,2024-01-23
华南,产品B,85,29750,2024-01-24
