date,channel,dau
2024-01-01,自然搜索,478
2024-01-01,付费广告,656
2024-01-01,社交媒体,320
2024-01-01,推荐,812
2024-01-01,直访,207
2024-01-02,自然搜索,485
2024-01-02,付费广告,676
2024-01-02,社交媒体,389
2024-01-02,推荐,772
2024-01-02,直访,258
2024-01-03,自然搜索,458
2024-01-03,付费广告,657
2024-01-03,社交媒体,273
2024-01-03,推荐,805
2024-01-03,直访,209
2024-01-04,自然搜索,579
2024-01-04,付费广告,656
2024-01-04,社交媒体,393
2024-01-04,推荐,800
2024-01-04,直访,289
2024-01-05,自然搜索,557
2024-01-05,付费广告,706
2024-01-05,社交媒体,364
2024-01-05,推荐,900
2024-01-05,直访,221
2024-01-06,自然搜索,451
2024-01-06,付费广告,690
2024-01-06,社交媒体,358
2024-01-06,推荐,837
2024-01-06,直访,221
2024-01-07,自然搜索,489
2024-01-07,付费广告,705
2024-01-07,社交媒体,336
2024-01-07,推荐,776
2024-01-07,直访,173
2024-01-08,自然搜索,547
2024-01-08,付费广告,674
2024-01-08,社交媒体,341
2024-01-08,推荐,838
2024-01-08,直访,217
2024-01-09,自然搜索,461
2024-01-09,付费广告,767
2024-01-09,社交媒体,387
2024-01-09,推荐,781
2024-01-09,直访,246
2024-01-10,自然搜索,470
2024-01-10,付费广告,791
2024-01-10,社交媒体,325
2024-01-10,推荐,842
2024-01-10,直访,297
2024-01-11,自然搜索,499
2024-01-11,付费广告,667
2024-01-11,社交媒体,261
2024-01-11,推荐,808
2024-01-11,直访,224
2024-01-12,自然搜索,470
2024-01-12,付费广告,709
2024-01-12,社交媒体,275
2024-01-12,推荐,847
2024-01-12,直访,221
2024-01-13,自然搜索,566
2024-01-13,付费广告,743
2024-01-13,社交媒体,291
2024-01-13,推荐,844
2024-01-13,直访,240
2024-01-14,自然搜索,503
2024-01-14,付费广告,718
2024-01-14,社交媒体,268
2024-01-14,推荐,793
2024-01-14,直访,286
2024-01-15,自然搜索,512
2024-01-15,付费广告,691
2024-01-15,社交媒体,368
2024-01-15,推荐,847
2024-01-15,直访,219
2024-01-16,自然搜索,592
2024-01-16,付费广告,706
2024-01-16,社交媒体,333
2024-01-16,推荐,764
2024-01-16,直访,208
2024-01-17,自然搜索,458
2024-01-17,付费广告,730
2024-01-17,社交媒体,352
2024-01-17,推荐,818
2024-01-17,直访,166
2024-01-18,自然搜索,504
2024-01-18,付费广告,795
2024-01-18,社交媒体,330
2024-01-18,推荐,804
2024-01-18,直访,277
2024-01-19,自然搜索,551
2024-01-19,付费广告,767
2024-01-19,社交媒体,286
2024-01-19,推荐,817
2024-01-19,直访,185
2024-01-20,自然搜索,513
2024-01-20,付费广告,793
2024-01-20,社交媒体,387
2024-01-20,推荐,817
2024-01-20,直访,299
2024-01-21,自然搜索,559
2024-01-21,付费广告,799
2024-01-21,社交媒体,352
2024-01-21,推荐,842
2024-01-21,直访,206
2024-01-22,自然搜索,485
2024-01-22,付费广告,780
2024-01-22,社交媒体,376
2024-01-22,推荐,773
2024-01-22,直访,162
2024-01-23,自然搜索,478
2024-01-23,付费广告,689
2024-01-23,社交媒体,290
2024-01-23,推荐,858
2024-01-23,直访,166
2024-01-24,自然搜索,548
2024-01-24,付费广告,747
2024-01-24,社交媒体,369
2024-01-24,推荐,885
2024-01-24,直访,214
2024-01-25,自然搜索,591
2024-01-25,付费广告,652
2024-01-25,社交媒体,279
2024-01-25,推荐,887
2024-01-25,直访,218
2024-01-26,自然搜索,537
2024-01-26,付费广告,678
2024-01-26,社交媒体,325
2024-01-26,推荐,861
2024-01-26,直访,190
2024-01-27,自然搜索,566
2024-01-27,付费广告,650
2024-01-27,社交媒体,317
2024-01-27,推荐,878
2024-01-27,直访,195
2024-01-28,自然搜索,579
2024-01-28,付费广告,677
2024-01-28,社交媒体,326
2024-01-28,推荐,879
2024-01-28,直访,200
2024-01-29,自然搜索,489
2024-01-29,付费广告,745
2024-01-29,社交媒体,291
2024-01-29,推荐,888
2024-01-29,直访,285
2024-01-30,自然搜索,450
2024-01-30,付费广告,732
2024-01-30,社交媒体,375
2024-01-30,推荐,754
2024-01-30,直访,178
2024-01-31,自然搜索,542
2024-01-31,付费广告,728
2024-01-31,社交媒体,311
2024-01-31,推荐,764
2024-01-31,直访,211
2024-02-01,自然搜索,595
2024-02-01,付费广告,670
2024-02-01,社交媒体,271
2024-02-01,推荐,874
2024-02-01,直访,167
2024-02-02,自然搜索,586
2024-02-02,付费广告,682
2024-02-02,社交媒体,282
2024-02-02,推荐,871
2024-02-02,直访,290
2024-02-03,自然搜索,492
2024-02-03,付费广告,717
2024-02-03,社交媒体,385
2024-02-03,推荐,858
2024-02-03,直访,204
2024-02-04,自然搜索,588
2024-02-04,付费广告,701
2024-02-04,社交媒体,329
2024-02-04,推荐,852
2024-02-04,直访,245
2024-02-05,自然搜索,562
2024-02-05,付费广告,782
2024-02-05,社交媒体,365
2024-02-05,推荐,780
2024-02-05,直访,213
2024-02-06,自然搜索,507
2024-02-06,付费广告,666
2024-02-06,社交媒体,336
2024-02-06,推荐,755
2024-02-06,直访,300
2024-02-07,自然搜索,591
2024-02-07,付费广告,708
2024-02-07,社交媒体,400
2024-02-07,推荐,806
2024-02-07,直访,151
2024-02-08,自然搜索,468
2024-02-08,付费广告,665
2024-02-08,社交媒体,308
2024-02-08,推荐,767
2024-02-08,直访,158
2024-02-09,自然搜索,534
2024-02-09,付费广告,668
2024-02-09,社交媒体,381
2024-02-09,推荐,810
2024-02-09,直访,221
2024-02-10,自然搜索,574
2024-02-10,付费广告,704
2024-02-10,社交媒体,388
2024-02-10,推荐,783
2024-02-10,直访,296
2024-02-11,自然搜索,597
2024-02-11,付费广告,771
2024-02-11,社交媒体,312
2024-02-11,推荐,871
2024-02-11,直访,254
2024-02-12,自然搜索,498
2024-02-12,付费广告,674
2024-02-12,社交媒体,274
2024-02-12,推荐,860
2024-02-12,直访,240
2024-02-13,自然搜索,558
2024-02-13,付费广告,755
2024-02-13,社交媒体,369
2024-02-13,推荐,763
2024-02-13,直访,175
2024-02-14,自然搜索,465
