date,pv,uv,orders
2024-01-01,3200,1120,85
2024-01-02,3850,1280,102
2024-01-03,4120,1360,118
2024-01-04,3980,1340,110
2024-01-05,4420,1450,128
2024-01-06,5120,1680,165
2024-01-07,5680,1820,192
2024-01-08,3400,1150,90
2024-01-09,3920,1310,108
2024-01-10,4180,1390,120
2024-01-11,4020,1350,112
2024-01-12,4480,1470,130
2024-01-13,5240,1720,170
2024-01-14,5780,1850,198
2024-01-15,3450,1180,92
2024-01-16,3980,1330,110
2024-01-17,4220,1400,122
2024-01-18,4060,1360,115
2024-01-19,4520,1490,132
2024-01-20,5320,1750,175
2024-01-21,5860,1880,202
2024-01-22,3480,1200,95
2024-01-23,4020,1350,112
2024-01-24,4280,1420,125
2024-01-25,4100,1380,118
2024-01-26,4580,1510,135
2024-01-27,5400,1780,180
2024-01-28,5950,1910,208
2024-01-29,3520,1220,98
2024-01-30,4080,1370,115
2024-01-31,4320,1440,128
2024-02-01,4140,1390,120
2024-02-02,4620,1530,138
2024-02-03,5480,1810,185
2024-02-04,6020,1940,212
2024-02-05,3580,1240,100
2024-02-06,4120,1390,118
2024-02-07,4380,1470,130
2024-02-08,4200,1410,122
2024-02-09,4680,1560,140
2024-02-10,5550,1840,188
2024-02-11,6120,1970,218
2024-02-12,3620,1260,102
2024-02-13,4180,1410,120
2024-02-14,4420,1490,132
2024-02-15,4250,1430,125
2024-02-16,4740,1580,142
2024-02-17,5620,1870,192
2024-02-18,6200,2000,222
2024-02-19,3680,1280,105
2024-02-20,4220,1430,122
2024-02-21,4480,1510,135
2024-02-22,4300,1450,128
2024-02-23,4800,1600,145
2024-02-24,5700,1900,195
2024-02-25,6280,2030,226
2024-02-26,3720,1300,108
2024-02-27,4280,1450,125
2024-02-28,4520,1530,138
2024-02-29,4350,1470,130
2024-03-01,4860,1630,148
2024-03-02,5780,1930,200
2024-03-03,6350,2060,230
2024-03-04,3780,1320,110
2024-03-05,4320,1470,128
2024-03-06,4580,1550,140
2024-03-07,4400,1490,132
2024-03-08,4920,1650,150
2024-03-09,5860,1960,205
2024-03-10,6420,2090,235
2024-03-11,3820,1340,112
2024-03-12,4380,1490,130
2024-03-13,4620,1570,142
2024-03-14,4450,1510,135
2024-03-15,4980,1680,152
2024-03-16,5940,1990,208
2024-03-17,6500,2120,238
2024-03-18,3880,1360,115
2024-03-19,4420,1510,132
2024-03-20,4680,1590,145
2024-03-21,4500,1530,138
2024-03-22,5040,1700,155
2024-03-23,6020,2020,212
2024-03-24,6580,2150,242
2024-03-25,3920,1380,118
2024-03-26,4480,1530,135
2024-03-27,4740,1610,148
2024-03-28,4560,1550,140
2024-03-29,5100,1720,158
2024-03-30,6100,2050,215
2024-03-31,6650,2180,246
2024-04-01,3980,1400,120
2024-04-02,4520,1550,138
2024-04-03,4780,1630,150
2024-04-04,4600,1570,142
2024-04-05,5160,1740,160
2024-04-06,6180,2080,218
2024-04-07,6720,2210,250
2024-04-08,4020,1420,122
2024-04-09,4580,1570,140
2024-04-10,4820,1650,152
2024-04-11,4650,1590,145
2024-04-12,5220,1760,162
2024-04-13,6250,2110,222
2024-04-14,6800,2240,255
2024-04-15,4080,1440,125
2024-04-16,4620,1590,142
2024-04-17,4880,1670,155
2024-04-18,4700,1610,148
2024-04-19,5280,1780,165
2024-04-20,6320,2140,225
2024-04-21,6880,2270,258
2024-04-22,4120,1460,128
2024-04-23,4680,1610,145
2024-04-24,4940,1690,158
2024-04-25,4750,1630,150
2024-04-26,5340,1810,168
2024-04-27,6400,2170,230
2024-04-28,6950,2300,262
2024-04-29,4180,1480,130
2024-04-30,4720,1630,148
2024-05-01,5000,1710,160
2024-05-02,4800,1650,152
2024-05-03,5400,1830,170
2024-05-04,6480,2200,235
2024-05-05,7020,2330,268
2024-05-06,4220,1500,132
2024-05-07,4780,1650,150
2024-05-08,5050,1730,162
2024-05-09,4850,1670,155
2024-05-10,5460,1850,172
2024-05-11,6550,2230,238
2024-05-12,7100,2360,272
2024-05-13,4280,1520,135
2024-05-14,4820,1670,152
2024-05-15,5120,1750,165
2024-05-16,4900,1690,158
2024-05-17,5520,1870,175
2024-05-18,6620,2260,242
2024-05-19,7180,2390,275
2024-05-20,4320,1540,138
2024-05-21,4880,1690,155
2024-05-22,5180,1770,168
2024-05-23,4950,1710,160
2024-05-24,5580,1890,178
2024-05-25,6700,2290,245
2024-05-26,7250,2420,280
2024-05-27,4380,1560,140
2024-05-28,4920,1710,158
2024-05-29,5240,1790,170
2024-05-30,5000,1730,162
2024-05-31,5640,1910,180
2024-06-01,6780,2320,248
2024-06-02,7320,2450,285
2024-06-03,4420,1580,142
2024-06-04,4980,1730,160
2024-06-05,5300,1810,172
2024-06-06,5050,1750,165
2024-06-07,5700,1930,182
2024-06-08,6850,2350,252
2024-06-09,7400,2480,290
2024-06-10,4480,1600,145
2024-06-11,5020,1750,162
2024-06-12,5360,1830,175
2024-06-13,5100,1770,168
2024-06-14,5760,1950,185
2024-06-15,6920,2380,255
2024-06-16,7480,2510,295
2024-06-17,4520,1620,148
2024-06-18,5080,1770,165
2024-06-19,5420,1850,178
2024-06-20,5150,1790,170
2024-06-21,5820,1970,188
2024-06-22,7000,2410,258
2024-06-23,7550,2540,300
2024-06-24,4580,1640,150
2024-06-25,5140,1790,168
2024-06-26,5480,1870,180
2024-06-27,5200,1810,172
2024-06-28,5880,1990,190
2024-06-29,12500,4200,450
