user_id,last_learn_days,sessions,total_learn_minutes
30000,15,8,486
30001,24,10,306
30002,54,6,580
30003,49,1,486
30004,59,11,590
30005,25,10,325
30006,57,2,146
30007,45,2,371
30008,7,14,31
30009,54,11,376
30010,19,10,303
30011,7,11,244
30012,20,9,158
30013,53,13,454
30014,38,13,64
30015,23,10,181
30016,37,9,108
30017,35,9,311
30018,56,13,538
30019,7,9,491
30020,11,1,479
30021,17,4,422
30022,6,7,212
30023,52,8,95
30024,35,7,357
30025,20,4,126
30026,12,2,597
30027,54,10,64
30028,1,8,301
30029,42,5,40
30030,11,12,152
30031,52,15,539
30032,25,2,539
30033,53,7,462
30034,26,8,381
30035,38,11,592
30036,23,11,584
30037,39,9,83
30038,40,13,84
30039,57,14,412
30040,19,15,552
30041,45,7,184
30042,44,5,531
30043,44,15,435
30044,1,14,317
30045,32,6,558
30046,41,8,192
30047,9,6,112
30048,59,5,303
30049,20,7,190
30050,58,9,485
30051,37,3,118
30052,30,13,103
30053,22,2,425
30054,60,11,236
30055,40,3,138
30056,39,5,503
30057,43,10,473
30058,35,11,414
30059,3,1,234
30060,59,6,174
30061,57,3,468
30062,32,12,399
30063,51,5,92
30064,53,11,455
30065,31,5,95
30066,22,1,314
30067,44,14,559
30068,2,3,101
30069,51,2,213
30070,43,10,532
30071,20,4,318
30072,32,1,590
30073,51,6,238
30074,55,14,496
30075,16,13,425
30076,47,11,251
30077,3,14,308
30078,25,11,287
30079,31,7,328
30080,28,4,174
30081,2,1,279
30082,41,9,195
30083,31,7,543
30084,26,2,484
30085,31,6,38
30086,48,5,235
30087,36,7,537
30088,54,8,575
30089,45,7,496
30090,49,1,556
30091,40,3,309
30092,19,12,433
30093,22,6,365
30094,11,3,95
30095,52,6,388
30096,24,3,217
30097,28,8,409
30098,55,15,318
30099,8,13,534
30100,4,10,564
30101,31,3,363
30102,46,13,492
30103,52,8,396
30104,24,4,553
30105,60,8,40
30106,44,13,174
30107,44,12,536
30108,10,15,265
30109,16,2,348
30110,32,9,350
30111,50,11,556
30112,5,5,137
30113,48,5,236
30114,6,7,31
30115,2,8,489
30116,27,7,63
30117,54,5,512
30118,12,2,217
30119,20,8,414
30120,12,5,67
30121,26,15,479
30122,10,12,206
30123,10,12,182
30124,1,10,43
30125,28,14,535
30126,55,9,121
30127,38,3,208
30128,58,7,500
30129,41,2,376
30130,54,13,47
30131,59,9,585
30132,24,5,155
30133,42,10,578
30134,12,15,371
30135,6,7,159
30136,49,13,109
30137,48,11,163
30138,15,13,395
30139,46,14,341
30140,56,4,577
30141,34,14,124
30142,8,15,86
30143,33,1,458
30144,47,10,413
30145,26,9,568
30146,9,13,52
30147,9,12,96
30148,50,12,223
30149,18,1,481
30150,34,10,580
30151,56,12,326
30152,16,1,595
30153,23,12,263
30154,46,5,418
30155,47,6,180
30156,41,8,413
30157,60,5,464
30158,51,13,280
30159,46,10,412
30160,45,9,494
30161,40,14,33
30162,10,3,51
30163,16,12,449
30164,24,8,136
30165,1,6,43
30166,13,6,279
30167,28,6,234
30168,9,14,105
30169,24,12,55
30170,39,15,328
30171,43,12,49
30172,30,4,256
30173,10,6,151
30174,13,8,304
30175,49,7,292
30176,12,8,105
30177,5,6,322
30178,49,10,273
30179,58,3,227
30180,10,3,420
30181,40,5,52
30182,22,15,322
30183,59,3,573
30184,25,4,327
30185,1,11,59
30186,54,13,575
30187,3,6,64
30188,42,10,208
30189,28,3,459
30190,32,1,427
30191,40,10,319
30192,53,7,505
30193,4,15,375
30194,56,7,106
30195,8,12,431
30196,52,14,584
30197,15,6,117
30198,32,3,394
30199,53,7,470
