user_id,chapter_id,duration_min,pause_count,seek_count,quiz_score
50000,ch1,44.6,14,15,38
50001,ch4,23.8,12,12,34
50002,ch4,82.8,12,17,52
50003,ch3,41.8,10,8,59
50004,ch3,86.5,9,20,38
50005,ch4,28.9,7,1,45
50006,ch4,11.1,14,13,44
50007,ch3,85.8,4,20,50
50008,ch3,41.5,15,6,55
50009,ch3,69.2,4,2,67
50010,ch4,88.3,7,1,61
50011,ch2,70.5,14,16,55
50012,ch1,14.4,4,20,56
50013,ch3,36.1,1,10,91
50014,ch3,15.4,3,3,81
50015,ch1,17.5,3,19,62
50016,ch2,31.7,10,7,41
50017,ch1,24.5,5,13,67
50018,ch3,26.6,9,0,62
50019,ch3,34.7,11,7,56
50020,ch1,47.0,11,1,52
50021,ch3,70.7,11,6,51
50022,ch4,31.5,3,3,74
50023,ch3,22.9,8,6,60
50024,ch1,22.9,13,7,45
50025,ch3,18.8,10,0,52
50026,ch2,39.4,7,18,70
50027,ch1,23.3,3,13,38
50028,ch4,83.9,13,20,36
50029,ch1,13.7,9,3,72
50030,ch4,19.1,8,2,70
50031,ch3,12.6,8,17,53
50032,ch4,13.5,3,20,66
50033,ch2,88.0,13,5,54
50034,ch4,25.5,0,10,51
50035,ch4,27.7,12,6,51
50036,ch1,66.8,6,16,41
50037,ch2,79.0,1,3,50
50038,ch3,15.5,7,2,59
50039,ch2,59.9,13,6,51
50040,ch1,62.6,11,10,44
50041,ch2,55.6,15,6,22
50042,ch1,54.9,4,18,56
50043,ch4,79.3,12,9,69
50044,ch3,84.4,11,5,40
50045,ch1,80.3,6,0,77
50046,ch4,49.9,9,1,47
50047,ch1,88.6,8,17,39
50048,ch1,13.7,1,0,67
50049,ch4,63.0,4,11,66
50050,ch2,42.2,4,14,48
50051,ch3,58.4,5,15,69
50052,ch4,80.2,7,12,58
50053,ch3,70.9,12,18,37
50054,ch1,82.6,14,18,40
50055,ch2,24.5,0,11,58
50056,ch1,16.4,4,19,46
50057,ch3,12.4,14,5,46
50058,ch4,40.2,0,19,48
50059,ch4,50.6,2,6,53
50060,ch4,84.4,1,18,35
50061,ch2,39.9,7,14,46
50062,ch3,42.7,0,1,62
50063,ch3,30.5,6,3,56
50064,ch3,55.0,12,16,33
50065,ch4,39.9,15,6,49
50066,ch1,33.9,11,12,47
50067,ch3,49.0,0,6,56
50068,ch3,89.7,5,18,37
50069,ch2,29.9,15,16,37
50070,ch3,56.8,1,4,69
50071,ch1,17.1,6,1,66
50072,ch2,64.5,6,3,61
50073,ch4,39.7,11,14,34
50074,ch1,37.1,10,4,49
50075,ch2,14.1,3,2,65
50076,ch3,23.0,7,16,54
50077,ch2,30.9,15,14,55
50078,ch2,64.9,8,12,60
50079,ch3,36.5,8,8,52
50080,ch2,86.7,12,11,58
50081,ch2,16.6,15,1,53
50082,ch3,10.3,15,16,19
50083,ch3,49.4,7,20,39
50084,ch1,20.3,4,11,54
50085,ch4,31.4,15,7,42
50086,ch3,27.6,10,17,45
50087,ch2,33.5,9,6,57
50088,ch1,40.9,6,12,43
50089,ch3,67.3,0,6,80
50090,ch3,84.3,14,15,54
50091,ch3,53.6,5,3,56
50092,ch2,88.3,3,12,51
50093,ch1,83.2,9,11,60
50094,ch4,75.5,4,18,55
50095,ch4,87.6,13,0,69
50096,ch1,18.1,8,17,53
50097,ch4,15.1,8,0,57
50098,ch2,65.5,9,18,41
50099,ch1,68.9,9,14,56
50100,ch4,10.7,12,16,37
50101,ch4,74.3,4,19,42
50102,ch3,45.4,2,7,62
50103,ch4,55.1,7,15,47
50104,ch2,32.0,1,12,60
50105,ch2,43.4,11,10,45
50106,ch1,49.4,3,1,58
50107,ch1,75.0,12,6,48
50108,ch1,84.3,7,7,60
50109,ch1,79.2,14,6,48
50110,ch1,21.2,7,13,57
50111,ch1,21.1,14,2,31
50112,ch4,34.3,6,15,60
50113,ch2,86.2,11,10,53
50114,ch1,27.6,14,14,42
50115,ch4,21.1,3,18,63
50116,ch3,73.9,12,19,43
50117,ch4,55.0,0,19,57
50118,ch2,81.3,2,17,50
50119,ch4,65.6,2,15,59
50120,ch4,81.2,1,20,51
50121,ch3,16.9,6,5,58
50122,ch2,68.6,5,11,61
50123,ch2,64.9,9,1,77
