user_id,age,gender,city,prefer_subject,device,active_hour,session_count
U1,24,M,一线城市,编程,mobile,19,15
U2,28,F,一线城市,数据,pc,21,22
U3,35,M,二线城市,设计,mobile,22,8
U4,22,F,一线城市,编程,pc,20,18
U5,40,F,一线城市,商业,mobile,18,12
U6,26,M,一线城市,编程,pc,14,25
U7,32,F,二线城市,语言,mobile,10,10
U8,45,M,一线城市,数据,pc,23,16
U9,21,F,二线城市,编程,mobile,15,20
U10,30,F,一线城市,设计,pc,19,14
U11,27,M,一线城市,商业,mobile,20,18
U12,38,F,三线城市,语言,pc,9,7
U13,25,M,一线城市,编程,mobile,18,24
U14,33,F,一线城市,数据,pc,16,19
U15,29,M,二线城市,设计,mobile,21,13
U16,42,F,一线城市,商业,pc,8,9
U17,23,M,一线城市,编程,mobile,17,21
U18,36,F,二线城市,语言,pc,11,8
U19,31,M,一线城市,数据,mobile,22,17
U20,26,F,一线城市,编程,pc,15,23
U21,34,M,二线城市,设计,mobile,19,14
U22,41,F,一线城市,商业,pc,10,11
U23,28,M,一线城市,编程,mobile,14,22
U24,47,F,三线城市,语言,pc,7,6
U25,22,F,一线城市,数据,mobile,20,18
U26,37,M,一线城市,设计,pc,21,15
U27,30,F,二线城市,商业,mobile,12,9
U28,25,M,一线城市,编程,pc,18,24
U29,39,F,一线城市,语言,mobile,11,10
U30,29,M,一线城市,数据,pc,17,20
U31,33,M,二线城市,编程,mobile,19,16
U32,24,F,一线城市,设计,pc,13,12
U33,44,M,一线城市,商业,mobile,22,13
U34,27,F,二线城市,语言,pc,10,8
U35,40,M,一线城市,编程,mobile,20,21
U36,31,F,一线城市,数据,pc,16,19
U37,23,M,一线城市,设计,mobile,21,14
U38,35,F,三线城市,商业,pc,9,7
U39,28,M,一线城市,编程,mobile,17,23
U40,42,F,一线城市,语言,pc,12,10
U41,26,M,二线城市,数据,mobile,18,17
U42,32,F,一线城市,设计,pc,19,15
U43,37,M,一线城市,商业,mobile,11,9
U44,21,F,一线城市,编程,pc,15,24
U45,30,M,一线城市,数据,mobile,20,18
U46,39,F,二线城市,语言,pc,8,7
U47,34,M,一线城市,设计,mobile,21,13
U48,43,F,一线城市,商业,pc,10,11
U49,27,M,一线城市,编程,mobile,14,22
U50,46,F,三线城市,语言,pc,7,6
U51,25,F,一线城市,数据,mobile,22,19
U52,31,M,一线城市,设计,pc,18,14
U53,29,F,二线城市,商业,mobile,12,8
U54,36,M,一线城市,编程,pc,19,21
U55,41,F,一线城市,语言,mobile,11,9
U56,22,M,一线城市,数据,pc,15,20
U57,33,F,二线城市,设计,mobile,20,13
U58,38,M,一线城市,商业,pc,10,10
U59,26,F,一线城市,编程,mobile,17,24
U60,44,M,一线城市,数据,pc,21,16
U61,30,F,二线城市,设计,mobile,19,14
U62,24,M,一线城市,商业,pc,13,12
U63,35,F,一线城市,语言,mobile,8,7
U64,27,M,一线城市,编程,pc,18,22
U65,42,F,三线城市,数据,mobile,22,15
U66,31,M,一线城市,设计,pc,16,17
U67,39,F,一线城市,商业,mobile,12,10
U68,23,M,一线城市,编程,pc,15,24
U69,28,F,二线城市,语言,mobile,11,8
U70,37,M,一线城市,数据,pc,19,18
U71,33,F,一线城市,设计,mobile,20,13
U72,26,M,一线城市,商业,pc,14,11
U73,30,F,三线城市,语言,mobile,9,7
U74,41,M,一线城市,编程,pc,17,23
U75,34,F,一线城市,数据,mobile,21,16
U76,25,M,一线城市,设计,pc,18,14
U77,38,F,二线城市,商业,mobile,12,9
U78,29,M,一线城市,编程,pc,16,22
U79,43,F,一线城市,语言,mobile,10,8
U80,27,M,一线城市,数据,pc,19,17
U81,22,F,二线城市,设计,mobile,20,12
U82,32,M,一线城市,商业,pc,13,10
