date,channel,user_id,hour,session_count,active_days
2024-01-01,自然搜索,10001,9,5,22
2024-01-01,付费广告,10002,14,3,15
2024-01-01,社交媒体,10003,20,2,8
2024-01-01,推荐,10004,11,7,28
2024-01-01,直访,10005,8,4,18
2024-01-02,自然搜索,10006,10,6,25
2024-01-02,付费广告,10007,15,4,16
2024-01-02,社交媒体,10008,21,3,10
2024-01-02,推荐,10009,12,8,30
2024-01-02,直访,10010,9,5,20
2024-01-03,自然搜索,10011,8,4,19
2024-01-03,付费广告,10012,13,3,14
2024-01-03,社交媒体,10013,19,2,7
2024-01-03,推荐,10014,10,6,24
2024-01-03,直访,10015,7,3,12
2024-01-04,自然搜索,10016,11,7,27
2024-01-04,付费广告,10017,16,4,17
2024-01-04,社交媒体,10018,22,3,9
2024-01-04,推荐,10019,13,9,31
2024-01-04,直访,10020,10,4,18
2024-01-05,自然搜索,10021,9,5,23
2024-01-05,付费广告,10022,14,3,15
2024-01-05,社交媒体,10023,20,2,8
2024-01-05,推荐,10024,11,7,29
2024-01-05,直访,10025,8,4,18
2024-01-06,自然搜索,10026,10,6,25
2024-01-06,付费广告,10027,15,4,16
2024-01-06,社交媒体,10028,21,3,10
2024-01-06,推荐,10029,12,8,30
2024-01-06,直访,10030,9,5,20
2024-01-07,自然搜索,10031,8,4,19
2024-01-07,付费广告,10032,13,3,14
2024-01-07,社交媒体,10033,19,2,7
2024-01-07,推荐,10034,10,6,24
2024-01-07,直访,10035,7,3,12
2024-01-08,自然搜索,10036,11,7,27
2024-01-08,付费广告,10037,16,4,17
2024-01-08,社交媒体,10038,22,3,9
2024-01-08,推荐,10039,13,9,31
2024-01-08,直访,10040,10,4,18
2024-01-09,自然搜索,10041,9,5,22
2024-01-09,付费广告,10042,14,3,15
2024-01-09,社交媒体,10043,20,2,8
2024-01-09,推荐,10044,11,7,28
2024-01-09,直访,10045,8,4,18
2024-01-10,自然搜索,10046,10,6,25
2024-01-10,付费广告,10047,15,4,16
2024-01-10,社交媒体,10048,21,3,10
2024-01-10,推荐,10049,12,8,30
2024-01-10,直访,10050,9,5,20
